Date,News,sentiment,confidence,Close Price,Ticker
7/1/2016,"A 117-year-old woman in Mexico City finally received her birth certificate, and died a few hours later. Trinidad Alvarez Lira had waited years for proof that she had been born in 1898.",NEGATIVE,0.986629248,209.92,SPY
7/1/2016,IMF chief backs Athens as permanent Olympic host,POSITIVE,0.61931318,209.92,SPY
7/1/2016,"The president of France says if Brexit won, so can Donald Trump",NEGATIVE,0.802927494,209.92,SPY
7/1/2016,British Man Who Must Give Police 24 Hours' Notice of Sex Threatens Hunger Strike: The man is the subject of a sexual risk order despite having never been convicted of a crime.,NEGATIVE,0.993048906,209.92,SPY
7/1/2016,100+ Nobel laureates urge Greenpeace to stop opposing GMOs,POSITIVE,0.594844878,209.92,SPY
7/1/2016,Brazil: Huge spike in number of police killings in Rio ahead of Olympics,POSITIVE,0.929730713,209.92,SPY
7/1/2016,Austria's highest court annuls presidential election narrowly lost by right-wing candidate.,NEGATIVE,0.739146948,209.92,SPY
7/1/2016,"Facebook wins privacy case, can track any Belgian it wants: Doesn't matter if Internet users are logged into Facebook or not",POSITIVE,0.554614723,209.92,SPY
7/1/2016,"Switzerland denies Muslim girls citizenship after they refuse to swim with boys at school: The 12- and 14-year-old will no longer be considered for naturalised citizenship because they have not complied with the school curriculum, authorities in Basel said",NEGATIVE,0.999124587,209.92,SPY
7/1/2016,"China kills millions of innocent meditators for their organs, report finds",NEGATIVE,0.998951912,209.92,SPY
7/1/2016,"France Cracks Down on Factory Farms - A viral video campaign has moved the govt to act. In footage shared widely online, animals writhe in pain as they bleed to death or are dismembered, in violation of rules requiring they be rendered unconscious before slaughter.",NEGATIVE,0.996327221,209.92,SPY
7/1/2016,Abbas PLO Faction Calls Killer of 13-Year-Old American-Israeli Girl a Martyr,NEGATIVE,0.989691019,209.92,SPY
7/1/2016,Taiwanese warship accidentally fires missile towards China,NEGATIVE,0.998024344,209.92,SPY
7/1/2016,"Iran celebrates American Human Rights Week, mocks U.S. rights record",NEGATIVE,0.957624316,209.92,SPY
7/1/2016,U.N. panel moves to curb bias against L.G.B.T. people despite fierce resistance from Muslim and African countries.,NEGATIVE,0.844518721,209.92,SPY
7/1/2016,"The United States has placed Myanmar, Uzbekistan, Sudan and Haiti on its list of worst human trafficking offenders.",NEGATIVE,0.998235345,209.92,SPY
